Disease Name,Drug Name
High Blood Pressure (Hypertension),"amlodipine, atenolol, carvedilol, clonidine, enalapril, furosemide, hydrochlorothiazide, hydrochlorothiazide ,  lisinopril, lisinopril, losartan, metoprolol, valsartan"
High Cholesterol,"atorvastatin, ezetimibe, ezetimibe ,  simvastatin, fenofibric acid, gemfibrozil, lovastatin, niacin, pravastatin, rosuvastatin, simvastatin"
"High Cholesterol, Familial Heterozygous","alirocumab, atorvastatin, evolocumab, ezetimibe, ezetimibe ,  simvastatin, fluvastatin, lovastatin, pravastatin, rosuvastatin, simvastatin"
"High Cholesterol, Familial Homozygous","atorvastatin, evolocumab, ezetimibe ,  simvastatin, lomitapide, rosuvastatin, simvastatin"
High Risk Percutaneous Transluminal Angioplasty,"abciximab, allopurinol"
Hirsutism,"eflornithine, flutamide, leuprolide, spironolactone"
Histiocytosis,"cyclophosphamide, etanercept, vinblastine"
Histoplasmosis,"amphotericin b lipid complex, fluconazole, itraconazole, ketoconazole"
"Histoplasmosis, Immunocompenent Host",amphotericin b
"Histoplasmosis, Meningitis",amphotericin b
Hodgkin's Lymphoma,"bleomycin, brentuximab, carmustine, chlorambucil, cyclophosphamide, dacarbazine, doxorubicin, etoposide, methotrexate, nivolumab, procarbazine, vinblastine, vincristine"
Hookworm Infection (Necator or Ancylostoma),"albendazole, mebendazole, pyrantel"
Hordeolum,"bacitracin ,  neomycin ,  polymyxin b, bacitracin ,  polymyxin b"
Hot Flashes,"bazedoxifene ,  conjugated estrogens, citalopram, desvenlafaxine, duloxetine, esterified estrogens ,  methyltestosterone, fluoxetine, gabapentin, megestrol, mirtazapine, paroxetine, venlafaxine"
Human Papilloma Virus,"cimetidine, imiquimod, podophyllum resin, resorcinol"
Human Papillomavirus Prophylaxis,human papillomavirus vaccine
Huntington's Disease,"baclofen, deutetrabenazine, tetrabenazine"
Hydatid Disease,"albendazole, mebendazole"
Hydrocephalus,acetazolamide
Hyperammonemia,"carglumic acid, sodium benzoate ,  sodium phenylacetate"
Hyperbilirubinemia,phenobarbital
Hypercalcemia,"calcitonin, furosemide, pamidronate"
Hypercalcemia of Malignancy,"cinacalcet, denosumab, dexamethasone, etidronate, pamidronate, prednisone, zoledronic acid"
Hyperekplexia,"clonazepam, diazepam, divalproex sodium, levetiracetam, valproic acid"
Hypereosinophilic Syndrome,imatinib
Hyperhidrosis,"aluminum chloride hexahydrate, amitriptyline, benztropine, clonidine, gabapentin, glycopyrronium, onabotulinumtoxinA, oxybutynin, terazosin"
Hyperhomocysteinemia,"l-methylfolate, multivitamin"
Hyperimmunoglobulin D Syndrome,canakinumab
Hyperkalemia,"calcium chloride, calcium gluconate, insulin regular, patiromer, sodium bicarbonate, sodium polystyrene sulfonate, sodium zirconium cyclosilicate"
Hyperkalemic Periodic Paralysis,dichlorphenamide
Hyperlipoproteinemia,"atorvastatin, cholestyramine, colesevelam, colestipol, fenofibrate, gemfibrozil, lovastatin, niacin, pravastatin, rosuvastatin, simvastatin"
"Hyperlipoproteinemia Type III, Elevated beta-VLDL   IDL","atorvastatin, pravastatin, rosuvastatin, simvastatin"
"Hyperlipoproteinemia Type IIa, Elevated LDL","atorvastatin, cholestyramine, colesevelam, colestipol, fenofibrate, fluvastatin, lovastatin, pravastatin, rosuvastatin, simvastatin"
"Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL","atorvastatin, cholestyramine, colestipol, fenofibrate, fluvastatin, gemfibrozil, lovastatin, pravastatin, rosuvastatin, simvastatin"
"Hyperlipoproteinemia Type IV, Elevated VLDL","atorvastatin, fenofibrate, gemfibrozil, niacin, pravastatin, rosuvastatin, simvastatin"
"Hyperlipoproteinemia Type V, Elevated Chylomicrons   VLDL","fenofibrate, gemfibrozil, niacin"
Hypermagnesemia,"calcium chloride, calcium gluconate"
Hyperparathyroidism Secondary to Renal Impairment,"calcifediol, etelcalcetide"
Hyperphosphatemia,"aluminum hydroxide, calcium acetate"
Hyperphosphatemia of Renal Failure,"ferric citrate, lanthanum carbonate, magnesium carbonate, sevelamer, sucralfate, sucroferric oxyhydroxide"
Hyperprolactinemia,"bromocriptine, cabergoline"
Hypertensive Emergency,"captopril, clevidipine, clonidine, diazoxide, enalapril, fenoldopam, hydralazine, labetalol, methyldopa, nifedipine, nitroprusside"
Hyperthyroidism,"iodine ,  potassium iodide, methimazole, potassium iodide, propylthiouracil, sodium iodide-i-131"
Hypertriglyceridemia,"fenofibrate, fenofibric acid, icosapent, omega-3 polyunsaturated fatty acids, rosuvastatin"
Hypertrophic Cardiomyopathy,nifedipine
Hyperuricemia Secondary to Chemotherapy,"allopurinol, rasburicase, sodium bicarbonate"
Hypoactive Sexual Desire Disorder,"bremelanotide, flibanserin"
Hypocalcemia,"calcifediol, calcitriol, calcium carbonate, calcium chloride, calcium gluconate, calcium lactate, calcium phosphate, tribasic, ergocalciferol, parathyroid hormone"
Hypodermoclysis,hyaluronidase
Hypoestrogenism,"conjugated estrogens, esterified estrogens, estradiol, estradiol ,  norethindrone, estropipate, ethinyl estradiol"
Hypoglycemia,"diazoxide, glucagon"
"Hypogonadism, Male","chorionic gonadotropin (hcg), follicle stimulating hormone, methyltestosterone, testosterone"
Hypokalemia,"potassium bicarbonate, potassium bicarbonate ,  potassium chloride, potassium chloride, potassium gluconate, spironolactone"
Hypokalemic Periodic Paralysis,"acetazolamide, dichlorphenamide"
Hypomagnesemia,"magnesium amino acids chelate, magnesium carbonate, magnesium chloride, magnesium gluconate, magnesium oxide, magnesium sulfate"
Hyponatremia,"sodium acetate, tolvaptan, urea"
Hypoparathyroidism,"calcitriol, calcium lactate, calcium phosphate, tribasic, ergocalciferol, parathyroid hormone, teriparatide"
Hypophosphatasia,asfotase alfa
Hypophosphatemia,"ergocalciferol, potassium phosphate, potassium phosphate ,  sodium phosphate, sodium phosphate"
Hypopituitarism,somatropin
Hypoproteinemia,albumin human
"Hypoprothrombinemia, Anticoagulant Induced",phytonadione
"Hypoprothrombinemia, Not Associated with Anticoagulant Therapy",phytonadione
"Hypoprothrombinemia, Prophylaxis",phytonadione
Hypotension,"droxidopa, ephedrine, midodrine, norepinephrine, phenylephrine"
"Hypothyroidism, After Thyroid Removal (Hypothyroidism, Post-Thyroidectomy)","levothyroxine, liothyronine, thyroid desiccated"
Hypovolemia,"hetastarch, hydroxyethyl starch"
Hysterectomy,piperacillin
Hysterosalpingography,iohexol
ICU Agitation,"diazepam, haloperidol, lorazepam, midazolam"
IV Catheter Clot,alteplase
Ichthyosis,ammonium lactate
Idiopathic Hypertrophic Subaortic Stenosis,verapamil
Idiopathic Pulmonary Fibrosis,"interferon gamma-1b, nintedanib, pirfenidone"
Idiopathic Short Stature,somatropin
Idiopathic Thrombocytopenic Purpura,"azathioprine, cyclosporine, dexamethasone, eltrombopag, immune globulin intravenous, immune globulin intravenous and subcutaneous, interferon alfa-2b, prednisone, rho (d) immune globulin, rituximab, romiplostim, triamcinolone"
IgA Nephropathy,cyclophosphamide
Immunodeficiency,pegademase bovine
Immunosuppression,"methylprednisolone, prednisolone, prednisone"
Impetigo,"ammoniated mercury, cefadroxil, cefuroxime, mupirocin, ozenoxacin, retapamulin, sulconazole"
Inclusion Conjunctivitis,doxycycline
Indigestion,"aluminum hydroxide ,  magnesium hydroxide ,  simethicone, bismuth subsalicylate, calcium carbonate, famotidine, magnesium hydroxide, omeprazole, ranitidine"
Induced Hypotension,nitroprusside
Infection Prophylaxis,"ciprofloxacin, ertapenem, sulfamethoxazole ,  trimethoprim"
Infectious Diarrhea,ciprofloxacin
Infectious Mononucleosis,acyclovir
Inflammatory Bowel Disease,"azathioprine, budesonide, corticotropin, cromolyn, cyclosporine, dexamethasone, hydrocortisone, infliximab, mercaptopurine, mesalamine, prednisone, sulfasalazine"
Inflammatory Conditions,"betamethasone, dexamethasone, hydrocortisone, magnesium salicylate, meloxicam, methylprednisolone, prednisolone, prednisone, tolmetin"
Influenza,"acetaminophen ,  chlorpheniramine, acetaminophen ,  chlorpheniramine ,  dextromethorphan, acetaminophen ,  chlorpheniramine ,  dextromethorphan ,  pseudoephedrine, acetaminophen ,  dextromethorphan ,  diphenhydramine, acetaminophen ,  dextromethorphan ,  guaifenesin ,  phenylephrine, amantadine, baloxavir marboxil, oseltamivir, peramivir, zanamivir"
Influenza A,"amantadine, rimantadine"
Influenza Prophylaxis,"amantadine, influenza virus vaccine, inactivated, influenza virus vaccine, live, trivalent, oseltamivir, rimantadine, zanamivir"
Inhibition of Intraoperative Miosis,"diclofenac, flurbiprofen"
Insect Bites,"benzocaine, pramoxine ,  zinc acetate"
Insomnia,"amitriptyline, clonazepam, diphenhydramine, doxepin, eszopiclone, flurazepam, gabapentin, lorazepam, mirtazapine, quetiapine, temazepam, trazodone, zolpidem"
"Insomnia, Stimulant-Associated",clonidine
Insulin Resistance Syndrome (Metabolic Syndrome),"insulin regular, metformin"
Insulinoma,octreotide
Intermittent Claudication,"cilostazol, pentoxifylline"
Intermittent Explosive Disorder,"fluoxetine, lithium, paroxetine, propranolol, quetiapine"
Interstitial Cystitis,"amitriptyline, dimethyl sulfoxide, hydroxyzine, imipramine, pentosan polysulfate sodium, phenazopyridine, trospium"
Interstitial Lung Disease,prednisone
Intertrigo,"clotrimazole, hydrocortisone, miconazole"
Intestinal Arterial Insufficiency,mercaptopurine
Intra- or Post-op SVT or Hypertension,esmolol
Intra-arterial Digital Subtraction Angiography,"iodixanol, iopromide, ioversol"
Intraabdominal Infection,"amikacin, cefepime, cefotaxime, ceftazidime, ceftriaxone, ciprofloxacin, clindamycin, doripenem, gentamicin, meropenem, metronidazole, moxifloxacin, piperacillin ,  tazobactam, tigecycline"
Intraocular Hypertension,"bimatoprost, brimonidine, brimonidine ,  timolol, brinzolamide, dorzolamide, dorzolamide ,  timolol, latanoprost, levobunolol, pilocarpine, timolol, travoprost"
Intravenous Digital Subtraction Angiography,ioversol
Intravenous Urography,ioversol
Iridocyclitis,"corticotropin, cortisone, dexamethasone, prednisone, triamcinolone"
Iritis,"corticotropin, cortisone, dexamethasone, loteprednol, loteprednol ,  tobramycin, prednisolone, prednisone, triamcinolone"
Iron Deficiency Anemia,"ferrous fumarate, ferrous gluconate, ferrous sulfate, ferumoxytol, iron polysaccharide, iron sucrose"
Iron Overload,"deferasirox, deferiprone"
"Iron Poisoning, Acute",deferoxamine
"Iron Poisoning, Chronic",deferoxamine
Irritable Bowel Syndrome,"amitriptyline, atropine ,  hyoscyamine ,  phenobarbital ,  scopolamine, chlordiazepoxide ,  clidinium, cholestyramine, dicyclomine, escitalopram, hyoscyamine, nortriptyline, psyllium, venlafaxine"
Ischemic Stroke,"alteplase, aspirin, clopidogrel, nimodipine"
"Ischemic Stroke, Prophylaxis","aspirin, aspirin ,  dipyridamole, clopidogrel, pravastatin"
Japanese Encephalitis Virus Prophylaxis,"japanese enceph vacc sa14-14-2, inactivated"
Jet Lag,armodafinil
Joint Infection,"amikacin, cefazolin, ceftazidime, ceftriaxone, cefuroxime, ciprofloxacin, clindamycin, metronidazole, penicillin g sodium"
Juvenile Idiopathic Arthritis,"abatacept, adalimumab, canakinumab, etanercept, infliximab, methotrexate, tocilizumab"
Juvenile Rheumatoid Arthritis,"aspirin, celecoxib, dexamethasone, etanercept, etodolac, ibuprofen, meloxicam, naproxen, oxaprozin, prednisone, sulfasalazine, sulindac"
Kaposi's Sarcoma,"alitretinoin, doxorubicin liposomal, interferon alfa-2b, paclitaxel, vinblastine"
Kawasaki Disease (Mucocutaneous Lymph Node Syndrome),"aspirin, immune globulin intravenous, infliximab"
Keloids,triamcinolone
Keratitis,"bacitracin ,  neomycin ,  polymyxin b, corticotropin, dexamethasone, dexamethasone ,  neomycin ,  polymyxin b, dexamethasone ,  tobramycin, hydrocortisone ,  neomycin ,  polymyxin b, loteprednol, prednisolone, prednisolone ,  sulfacetamide sodium, prednisone, triamcinolone"
Keratoconjunctivitis,"bacitracin ,  neomycin ,  polymyxin b, bacitracin ,  polymyxin b, cromolyn, dexamethasone ,  neomycin ,  polymyxin b, diclofenac, gentamicin ,  prednisolone, hydrocortisone ,  neomycin ,  polymyxin b, lodoxamide, prednisolone ,  sulfacetamide sodium"
Keratosis,"aminolevulinic acid, collagenase, diclofenac, fluorouracil, imiquimod, ingenol, methyl aminolevulinate"
Kidney Infections (Pyelonephritis),"amoxicillin ,  clavulanate, cefazolin, cefepime, cefotaxime, cefpodoxime, ceftriaxone, cefuroxime, cephalexin, ciprofloxacin, levofloxacin, methenamine, sulfamethoxazole ,  trimethoprim"
Klinefelter Syndrome,testosterone
Labor Induction,"dinoprostone, misoprostol, oxytocin"
Labor Pain,"butorphanol, oxymorphone, ropivacaine"
Lactation Augmentation,metoclopramide
Lactation Suppression,clomiphene
Lactose Intolerance,lactase
Lambert-Eaton Myasthenic Syndrome,amifampridine
Langerhans' Cell Histiocytosis,indomethacin
Laryngopharyngeal Reflux,"aluminum hydroxide ,  magnesium hydroxide ,  simethicone, cimetidine, famotidine, lansoprazole, omeprazole, pantoprazole, ranitidine"
"Lead Poisoning, Mild",edetate calcium disodium
"Lead Poisoning, Severe","edetate calcium disodium, succimer"
Left Ventricular Dysfunction,"benazepril, captopril, carvedilol, enalapril, fosinopril, metoprolol, moexipril, perindopril, quinapril, ramipril, trandolapril, valsartan"
Left Ventriculography,"iopromide, ioversol"
Legionella Pneumonia,"azithromycin, clarithromycin, erythromycin, rifampin"
Leishmaniasis,"allopurinol, amphotericin b, amphotericin b lipid complex, amphotericin b liposomal, miltefosine, pentamidine"
Lemierre's Syndrome,"chloramphenicol, cilastatin ,  imipenem, clindamycin, metronidazole"
Lennox-Gastaut Syndrome,"cannabidiol, clobazam, felbamate, rufinamide, topiramate"
Leprosy,"clofazimine, dapsone, rifampin"
"Leprosy, Borderline",rifampin
"Leprosy, Dapsone-Resistant",clofazimine
"Leprosy, Dapsone-Sensitive",clofazimine
"Leprosy, Erythema Nodosum Leprosum","clofazimine, thalidomide"
"Leprosy, Lepromatous",dapsone
"Leprosy, Tuberculoid","dapsone, rifampin"
Leptospirosis,"ampicillin, penicillin g potassium, penicillin g sodium"
Leukemia,"cytarabine, dasatinib, dexamethasone, fludarabine, idarubicin, prednisone, triamcinolone"
Leukocytoclastic Vasculitis,"dapsone, idarubicin"
Lewy Body Dementia,"donepezil, rivastigmine"
Lhermitte's Sign,gabapentin
Lice,"lindane, permethrin, piperonyl butoxide ,  pyrethrins, spinosad"
Lichen Planus,"betamethasone, clobetasol, fluocinonide, prednisone, triamcinolone"
Lichen Sclerosus,"betamethasone, clobetasol, fluocinolone, fluticasone, prednisone, tretinoin, triamcinolone"
Lichen Simplex Chronicus,"aloe polysaccharides ,  iodoquinol, doxepin, triamcinolone"
Light Anesthesia,"cisatracurium, diazepam, lorazepam, midazolam"
Light Sedation,"chlordiazepoxide, chlorpromazine, diazepam, levorphanol, meperidine, midazolam, promethazine, secobarbital"
Linear IgA Disease,"colchicine, dapsone, mycophenolate mofetil"
Lipodystrophy,"metreleptin, tesamorelin"
Liposarcoma,"eribulin, palbociclib"
Lithium Tremor,nadolol
Liver Fluke (Clornorchis sinensis),"albendazole, praziquantel"
Liver Magnetic Resonance Imaging,gadoxetate disodium
Liver Metastasis in Adenocarcinoma,floxuridine
Local Anesthesia,"articaine ,  epinephrine, bupivacaine, chloroprocaine, cocaine, dibucaine, epinephrine ,  lidocaine, lidocaine, mepivacaine, ropivacaine, tetracaine"
Loeffler's Syndrome (Pulmonary Eosinophilia),"cortisone, dexamethasone, prednisone, triamcinolone"
Loiasis,albendazole
Long QT Syndrome,nadolol
Lower Limb Spasticity,"abobotulinumtoxinA, onabotulinumtoxinA"
Lyme Disease,"cefotaxime, ceftriaxone, cefuroxime, doxycycline, erythromycin"
"Lyme Disease, Arthritis","amoxicillin, cefotaxime, ceftriaxone, doxycycline, hydroxychloroquine, tetracycline"
"Lyme Disease, Carditis","amoxicillin, cefotaxime, ceftriaxone, doxycycline, tetracycline"
"Lyme Disease, Erythema Chronicum Migrans","amoxicillin, azithromycin, doxycycline, penicillin v potassium, tetracycline"
"Lyme Disease, Neurologic","amoxicillin, cefotaxime, ceftriaxone, doxycycline, penicillin g potassium, tetracycline"
Lymphangioleiomyomatosis,sirolimus
Lymphocytic Colitis,"bismuth subsalicylate, loperamide, mesalamine, sulfasalazine"
Lymphogranuloma Venereum,"doxycycline, erythromycin"
Lymphoma,"bortezomib, brentuximab, chlorambucil, dexamethasone, doxorubicin, ibrutinib, lenalidomide, methotrexate, nelarabine, pralatrexate, prednisone"
Lysosomal Acid Lipase Deficiency,sebelipase alfa
Macrophage Activation Syndrome,etanercept
Macular Degeneration,"aflibercept, bevacizumab, brolucizumab, pegaptanib, ranibizumab, verteporfin"
Macular Edema,"aflibercept, dexamethasone, fluocinolone, ranibizumab"
Magnetic Resonance Angiography,gadobenate dimeglumine
Major Depressive Disorder,"bupropion, duloxetine, escitalopram, fluoxetine, mirtazapine, sertraline, trazodone, venlafaxine"
Malaria,"artemether ,  lumefantrine, atovaquone, atovaquone ,  proguanil, chloroquine, clindamycin, doxycycline, hydroxychloroquine, mefloquine, primaquine"
Malaria Prevention (Malaria Prophylaxis),"atovaquone ,  proguanil, chloroquine, doxycycline, hydroxychloroquine, mefloquine, primaquine, pyrimethamine, tafenoquine"
Malignant Glioma,"bevacizumab, carmustine"
Malignant Hyperthermia,dantrolene
Malignant Pleural Effusion,bleomycin
Malignant Pleural Mesothelioma,pemetrexed
Mania,"allopurinol, chlorpromazine, divalproex sodium, haloperidol, lithium, risperidone, valproic acid"
Manscaping Pain,lidocaine
Mantle Cell Lymphoma,"acalabrutinib, bortezomib, cyclophosphamide, cytarabine, doxorubicin, ibrutinib, lenalidomide, methotrexate, mitoxantrone, rituximab, vincristine, zanubrutinib"
McCune-Albright Syndrome,"anastrozole, tamoxifen"
Measles,immune globulin intramuscular
Measles Prophylaxis,"measles virus vaccine, measles virus vaccine ,  mumps virus vaccine ,  rubella virus vaccine, measles virus vaccine ,  mumps virus vaccine ,  rubella virus vaccine ,  varicella virus vaccine"
Medical Procedures,"formaldehyde, sodium chloride"
Melanoma,"aldesleukin, dacarbazine, interferon alfa-2b, ipilimumab, nivolumab, peginterferon alfa-2b, pembrolizumab, talimogene laherparepvec, temozolomide"
"Melanoma, Metastatic","aldesleukin, cobimetinib, dabrafenib, dacarbazine, ipilimumab, isotretinoin, nivolumab, peginterferon alfa-2b, pembrolizumab, talimogene laherparepvec, temozolomide, trametinib, vemurafenib"
Melasma,"fluocinolone ,  hydroquinone ,  tretinoin, tranexamic acid"
Melioidosis,"amoxicillin ,  clavulanate, ceftazidime, doxycycline, sulfamethoxazole ,  trimethoprim"
Meniere's Disease,diazepam
Meningeal Leukemia,"cytarabine, methotrexate"
Meningitis,"amikacin, ampicillin, cefotaxime, ceftazidime, ceftriaxone, cefuroxime, chloramphenicol, cilastatin ,  imipenem, gentamicin, meropenem, metronidazole, rifampin, sulfamethoxazole ,  trimethoprim, triamcinolone, vancomycin"
"Meningitis, Haemophilus influenzae",dexamethasone
"Meningitis, Listeriosis",dexamethasone
"Meningitis, Meningococcal","dexamethasone, meningococcal group B vaccine, minocycline, penicillin g potassium, penicillin g sodium"
"Meningitis, Pneumococcal","dexamethasone, penicillin g potassium, penicillin g sodium"
"Meningitis, Streptococcus Group B","penicillin g potassium, penicillin g sodium"
Meningococcal Meningitis Prophylaxis,"ceftriaxone, ciprofloxacin, meningococcal conjugate vaccine, meningococcal group B vaccine, rifampin"
Menopausal Disorders,"esterified estrogens ,  methyltestosterone, estradiol ,  progesterone"
Menorrhagia,"dienogest ,  estradiol, tranexamic acid"
Menstrual Disorders,"drospirenone ,  ethinyl estradiol, ethinyl estradiol ,  norethindrone, tranexamic acid"
Mercury Poisoning,dimercaprol
Merkel Cell Carcinoma,"avelumab, pembrolizumab"
Metabolic Acidosis,"citric acid ,  potassium citrate ,  sodium citrate, sodium bicarbonate"
"Metagonimus yokogawai, Intestinal Fluke",praziquantel
Methanol Poisoning,fomepizole
Methemoglobinemia,methylene blue
Methicillin-Resistant Staphylococcus Aureus Infection,"dalfopristin ,  quinupristin, daptomycin, linezolid, ofloxacin, vancomycin"
Methotrexate Overdosage,"glucarpidase, leucovorin, levoleucovorin"
Methotrexate Rescue,"leucovorin, levoleucovorin"
Microscopic polyangiitis,rituximab
Microsporidiosis,"albendazole, itraconazole"
Migraine,"almotriptan, aspirin ,  butalbital ,  caffeine, cyclobenzaprine, diclofenac, eletriptan, gabapentin, naratriptan, rizatriptan, sumatriptan, zolmitriptan"
Migraine Prevention (Migraine Prophylaxis),"amitriptyline, amlodipine, atenolol, baclofen, clonazepam, divalproex sodium, lisinopril, metoprolol, nortriptyline, olmesartan, propranolol, topiramate, verapamil, zonisamide"
Mild Cognitive Impairment,donepezil
Minor Burns,vitamin a & d
Minor Cuts,"benzethonium chloride, pramoxine ,  zinc acetate"
Minor Skin Conditions,"benzoin, vitamin a & d"
Minor Skin Irritation,"camphor ,  menthol, pramoxine ,  zinc acetate, vitamin a & d"
Mitral Valve Prolapse,"atenolol, bisoprolol, labetalol, metoprolol, nadolol, nebivolol, propranolol"
Mixed Connective Tissue Disease,prednisone
Molluscum Contagiosum,imiquimod
Moniliformis Infection,pyrantel
Monkeypox Prophylaxis,smallpox and monkeypox vaccine
Mononucleosis,acyclovir
Motion Sickness,"dimenhydrinate, diphenhydramine, meclizine, promethazine, scopolamine"
Mountain Sickness / Altitude Sickness,"acetazolamide, dexamethasone"
Muckle Wells Syndrome,"canakinumab, rilonacept"
Mucopolysaccharidosis Type I,laronidase
Mucopolysaccharidosis Type II,idursulfase
Mucopolysaccharidosis Type IV,elosulfase alfa
Mucopolysaccharidosis Type VI,galsulfase
Mucopolysaccharidosis Type VII,vestronidase alfa
"Mucormycosis, Invasive",isavuconazonium
Mucositis,"chlorhexidine, palifermin, saliva substitutes, sodium hyaluronate"
Multicentric Castleman’s Disease,siltuximab
Multifocal Motor Neuropathy,immune globulin intravenous and subcutaneous
Multiple Endocrine Adenomas,"lansoprazole, omeprazole"
Multiple Myeloma,"bortezomib, carfilzomib, cyclophosphamide, daratumumab, dexamethasone, lenalidomide, melphalan, pomalidomide, thalidomide"
Multiple Sclerosis,"dalfampridine, dexamethasone, dimethyl fumarate, fingolimod, glatiramer, interferon beta-1a, natalizumab, prednisone, teriflunomide"
Mumps Prophylaxis,"measles virus vaccine ,  mumps virus vaccine ,  rubella virus vaccine, measles virus vaccine ,  mumps virus vaccine ,  rubella virus vaccine ,  varicella virus vaccine, mumps virus vaccine"
Muscle Pain,"acetaminophen, diclofenac, ibuprofen, nabumetone, naproxen"
Muscle Spasm (Involuntary Hypertonicity),"aspirin ,  caffeine ,  orphenadrine, aspirin ,  carisoprodol, aspirin ,  carisoprodol ,  codeine, baclofen, carisoprodol, chlorzoxazone, cyclobenzaprine, diazepam, metaxalone, methocarbamol, orphenadrine, tizanidine"
Muscle Twitching (Fasciculations),baclofen
Myasthenia Gravis,"azathioprine, eculizumab, ephedrine, immune globulin intravenous, mycophenolate mofetil, neostigmine, pyridostigmine"
"Mycobacterium avium-intracellulare, Prophylaxis","azithromycin, clarithromycin, ethambutol, rifabutin"
"Mycobacterium avium-intracellulare, Treatment","amikacin liposome, azithromycin, ciprofloxacin, clarithromycin, ethambutol, ofloxacin, rifabutin, rifampin, streptomycin"
Mycobacterium kansasii,isoniazid
Mycoplasma Pneumonia,"azithromycin, clarithromycin, doxycycline, erythromycin, minocycline"
Mycosis Fungoides,"brentuximab, cyclophosphamide, dexamethasone, mechlorethamine, methotrexate, mogamulizumab, prednisone, vinblastine"
Myelodysplastic Diseases,"imatinib, lenalidomide"
Myelodysplastic Syndrome,"azacitidine, decitabine, filgrastim"
Myelofibrosis,"fedratinib, ruxolitinib"
Myelography,iohexol
Myeloproliferative Disorders,"imatinib, ruxolitinib"
"Myocardial Infarction, Prophylaxis","aspirin, clopidogrel, prasugrel, pravastatin, ticagrelor"
Myopathy,azathioprine
Myopic Choroidal Neovascularization,ranibizumab
Myotonia Congenita,"mexiletine, phenytoin, procainamide"
Myxedema,liothyronine
Myxedema Coma,"levothyroxine, liothyronine"
NSAID-Induced Gastric Ulcer,"esomeprazole, lansoprazole"
NSAID-Induced Ulcer Prophylaxis,"esomeprazole ,  naproxen, famotidine ,  ibuprofen, lansoprazole, misoprostol"
Nail Dystrophy,poly-ureaurethane
Naophyetus salmincola,praziquantel
Narcolepsy,"amphetamine, amphetamine ,  dextroamphetamine, armodafinil, desvenlafaxine, dextroamphetamine, ephedrine, lisdexamfetamine, methylphenidate, modafinil, sodium oxybate, solriamfetol"
Nasal Carriage of Staphylococcus aureus,"mupirocin, rifampin"
Nasal Congestion,"epinephrine, loratadine ,  pseudoephedrine, oxymetazoline, phenylephrine, pseudoephedrine, sodium chloride, xylometazoline"
Nasal Polyps,"beclomethasone, fluticasone, mometasone"
"Nasal Polyps, Prevention",beclomethasone
Nausea/Vomiting,"dimenhydrinate, diphenhydramine, hydroxyzine, lorazepam, meclizine, metoclopramide, ondansetron, prochlorperazine, promethazine, scopolamine"
Nausea/Vomiting of Pregnancy,"calcium ,  folic acid ,  ginger ,  pyridoxine, doxylamine ,  pyridoxine"
"Nausea/Vomiting, Chemotherapy Induced","aprepitant, dexamethasone, dronabinol, gabapentin, granisetron, lorazepam, metoclopramide, nabilone, olanzapine, ondansetron, palonosetron"
"Nausea/Vomiting, Postoperative","aprepitant, droperidol, granisetron, metoclopramide, ondansetron, palonosetron"
"Nausea/Vomiting, Radiation Induced","granisetron, ondansetron"
Neck Pain,"acetaminophen, ibuprofen, naproxen"
Necrobiosis Lipoidica Diabeticorum,"clobetasol, tretinoin"
Neonatal Abstinence Syndrome,morphine
Neonatal Conjunctivitis,azithromycin
Neoplastic Diseases,methotrexate
Nephrocalcinosis,hydrochlorothiazide
Nephrolithiasis,potassium citrate
Nephropathic Cystinosis,cysteamine
Nephropathy,"lisinopril, methylprednisolone"
Nephrotic Syndrome,"azathioprine, cortisone, cyclophosphamide, cyclosporine, hydrochlorothiazide ,  spironolactone, mycophenolate mofetil, prednisolone, prednisone, tacrolimus, triamcinolone"
Nerve Agent Poisoning,"atropine ,  pralidoxime, pralidoxime"
Nerve Agent Pretreatment,pyridostigmine
Neuralgia,"baclofen, citalopram, desvenlafaxine, levetiracetam, methylprednisolone, nortriptyline, pregabalin"
Neuritis,"interferon beta-1a, triamcinolone"
Neuroblastoma,"cisplatin, cyclophosphamide, dinutuximab, doxorubicin, vincristine"
Neurocysticercosis,albendazole
Neuroendocrine Carcinoma,"everolimus, lanreotide, lutetium lu 177 dotatate"
Neurofibromatosis,bevacizumab
Neuroleptic Malignant Syndrome,"carbidopa, carbidopa ,  levodopa"
Neurological Disorders,guanidine
Neuromyelitis Optica,eculizumab
Neuronal Ceroid Lipofuscinosis,cerliponase alfa
Neuropathic Pain,"amitriptyline, doxepin, gabapentin, lidocaine, oxcarbazepine, pregabalin"
Neurosarcoidosis,"azathioprine, dexamethasone, infliximab, prednisone"
Neurosis,nortriptyline
Neurosurgery,phenytoin
Neurosyphilis,"ceftriaxone, penicillin g benzathine, penicillin g potassium, penicillin g sodium, procaine penicillin"
Neurotic Depression,amitriptyline
Neurotrophic Keratitis,cenegermin
Neutropenia,filgrastim
Neutropenia Associated with AIDS or Zidovudine,filgrastim
Neutropenia Associated with Chemotherapy,"filgrastim, pegfilgrastim, sargramostim, tbo-filgrastim"
Neutropenia Associated with Radiation,"filgrastim, pegfilgrastim, sargramostim"
New Daily Persistent Headache,"levetiracetam, sumatriptan"
Niacin Deficiency,"niacin, niacinamide"
Niacin Flush,aspirin
Niemann-Pick Disease,miglustat
Night Terrors,"clonazepam, diazepam, imipramine"
Nightmares,"prazosin, risperidone"
