Disease Name,Drug Name
Chronic Myelogenous Leukemia,"anagrelide, bosutinib, busulfan, cyclophosphamide, cytarabine, dasatinib, fludarabine, hydroxyurea, imatinib, nilotinib, omacetaxine, peginterferon alfa-2b, ponatinib"
Chronic Myofascial Pain,"amitriptyline, clonazepam, cyclobenzaprine, ibuprofen, naproxen"
Chronic Otitis Media,"colistin sulfate ,  hydrocortisone ,  neomycin ,  thonzonium bromide"
Chronic Pain,"acetaminophen ,  oxycodone, buprenorphine, duloxetine, fentanyl, hydromorphone, methadone, morphine, oxycodone, tramadol"
Chronic Pancreatitis,"pancreatin, pancrelipase"
Chronic Rhinosinusitis with Nasal Polyps,dupilumab
Chronic Spasticity,"baclofen, dantrolene, onabotulinumtoxinA"
Clostridioides difficile Infection,"fidaxomicin, metronidazole, penicillin g potassium, penicillin g sodium, penicillin v potassium, vancomycin"
Closure of Colostomy,fibrin sealant
Cluster Headaches,"caffeine ,  ergotamine, cyproheptadine, dihydroergotamine, indomethacin, lithium, prednisone, sumatriptan, tizanidine, verapamil, zolmitriptan"
Cluster-Tic Syndrome,"baclofen, carbamazepine, clonazepam, gabapentin, phenytoin, valproic acid"
Coccidioidomycosis,"amphotericin b, amphotericin b lipid complex, fluconazole, itraconazole, ketoconazole"
"Coccidioidomycosis, Meningitis","amphotericin b, fluconazole, voriconazole"
Cogan's Syndrome,"azathioprine, cyclophosphamide, cyclosporine, etanercept, infliximab, methotrexate, mycophenolate mofetil, prednisone"
Cold Sores (Herpes Simplex Labialis),"acyclovir, acyclovir ,  hydrocortisone, benzocaine, benzyl alcohol, famciclovir, penciclovir, tetracaine, valacyclovir"
Cold Symptoms,"acetaminophen ,  chlorpheniramine ,  phenylephrine, chlorpheniramine, diphenhydramine, pseudoephedrine ,  triprolidine"
Colorectal Cancer,"bevacizumab, capecitabine, cetuximab, fluorouracil, irinotecan, leucovorin, methotrexate, oxaliplatin, panitumumab, regorafenib"
Computed Tomography,"barium sulfate, iodixanol"
Condylomata Acuminata,"imiquimod, interferon alfa-2b, interferon alfa-n3, podofilox, sinecatechins"
Congenital Fibrinogen Deficiency,fibrinogen
Congenital Syphilis,"penicillin g benzathine, penicillin g potassium, penicillin g sodium, procaine penicillin"
Conjunctival Mucosa-Associated Lymphoid Tissue Lymphoma,interferon alfa-2b
Conjunctivitis,"ceftriaxone, cortisone, dexamethasone, diclofenac, gatifloxacin, lodoxamide, loteprednol, sulfacetamide sodium, triamcinolone"
"Conjunctivitis, Allergic","alcaftadine, azelastine, bepotastine, carbinoxamine, cetirizine, cromolyn, doxylamine, epinastine, ketotifen, nedocromil, prednisolone, prednisone"
"Conjunctivitis, Bacterial","azithromycin, bacitracin, ciprofloxacin, dexamethasone ,  neomycin ,  polymyxin b, dexamethasone ,  tobramycin, erythromycin, gentamicin, moxifloxacin, ofloxacin, polymyxin b ,  trimethoprim, tobramycin"
Constipation,"bisacodyl, docusate, linaclotide, magnesium citrate, magnesium hydroxide, magnesium oxide, polyethylene glycol 3350, psyllium"
"Constipation, Acute","docusate ,  senna, lactulose, polyethylene glycol 3350"
"Constipation, Chronic","colchicine, lactulose, linaclotide, lubiprostone, methylnaltrexone, naloxegol, polyethylene glycol 3350 with electrolytes, tegaserod"
"Constipation, Drug Induced","lubiprostone, methylnaltrexone, naloxegol"
Corneal Cystine Crystal Accumulation,cysteamine
Corneal Refractive Surgery,"ketorolac, riboflavin"
Corneal Ulcer,"ciprofloxacin, diclofenac, levofloxacin, ofloxacin, prednisone"
Coronary Arteriography,"iodixanol, iopromide, ioversol"
Coronary Artery Disease,"amlodipine, amlodipine ,  atorvastatin, isoxsuprine, lisinopril, perindopril, rivaroxaban"
Costochondritis,"ibuprofen, lidocaine, naproxen"
Cough,"acetaminophen ,  hydrocodone, benzonatate, chlorpheniramine ,  hydrocodone, codeine ,  guaifenesin, codeine ,  promethazine, dextromethorphan, dextromethorphan ,  guaifenesin, dextromethorphan ,  promethazine, diphenhydramine, guaifenesin, homatropine ,  hydrocodone"
Cough and Nasal Congestion,"brompheniramine ,  dextromethorphan ,  pseudoephedrine, chlorpheniramine ,  hydrocodone ,  pseudoephedrine, codeine ,  phenylephrine ,  promethazine, dextromethorphan ,  guaifenesin ,  phenylephrine, guaifenesin ,  phenylephrine, guaifenesin ,  pseudoephedrine"
Crohn's Disease,"adalimumab, azathioprine, budesonide, certolizumab, cholestyramine, cyclosporine, hyoscyamine, infliximab, mesalamine, mycophenolate mofetil, rifaximin, sulfasalazine, tacrolimus, ustekinumab, vedolizumab"
